id,home_team_win
0,1
1,1
2,1
3,1
4,0
5,0
6,0
7,1
8,1
9,1
10,0
11,1
12,1
13,1
14,1
15,1
16,0
17,0
18,1
19,0
20,1
21,0
22,0
23,1
24,0
25,1
26,0
27,0
28,1
29,1
30,1
31,1
32,0
33,0
34,0
35,1
36,0
37,1
38,1
39,0
40,0
41,0
42,1
43,1
44,1
45,1
46,1
47,0
48,0
49,0
50,1
51,0
52,1
53,0
54,1
55,0
56,0
57,1
58,0
59,0
60,1
61,1
62,1
63,0
64,1
65,0
66,1
67,0
68,0
69,1
70,1
71,1
72,0
73,0
74,0
75,1
76,0
77,0
78,0
79,1
80,1
81,0
82,1
83,1
84,1
85,1
86,0
87,1
88,0
89,1
90,0
91,1
92,0
93,0
94,0
95,1
96,1
97,0
98,1
99,1
100,1
101,1
102,0
103,0
104,0
105,1
106,1
107,0
108,1
109,0
110,0
111,1
112,0
113,1
114,0
115,1
116,1
117,1
118,0
119,1
120,1
121,1
122,1
123,1
124,0
125,1
126,1
127,0
128,1
129,1
130,1
131,1
132,1
133,0
134,1
135,1
136,0
137,0
138,1
139,1
140,1
141,1
142,1
143,0
144,1
145,1
146,1
147,0
148,1
149,1
150,0
151,1
152,1
153,0
154,0
155,1
156,1
157,1
158,1
159,0
160,1
161,1
162,0
163,0
164,0
165,0
166,0
167,0
168,1
169,1
170,0
171,1
172,1
173,1
174,1
175,1
176,0
177,0
178,1
179,1
180,0
181,1
182,0
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,0
192,1
193,0
194,1
195,1
196,1
197,1
198,1
199,0
200,1
201,1
202,1
203,1
204,1
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,1
217,0
218,1
219,1
220,0
221,1
222,0
223,1
224,0
225,1
226,0
227,0
228,1
229,1
230,0
231,0
232,0
233,1
234,1
235,0
236,1
237,0
238,0
239,0
240,0
241,0
242,0
243,1
244,0
245,1
246,0
247,0
248,1
249,0
250,1
251,1
252,0
253,1
254,0
255,0
256,1
257,1
258,1
259,1
260,0
261,0
262,1
263,1
264,0
265,1
266,0
267,1
268,0
269,0
270,0
271,1
272,0
273,0
274,0
275,1
276,1
277,1
278,1
279,1
280,0
281,1
282,1
283,0
284,1
285,0
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,0
294,1
295,1
296,1
297,0
298,0
299,1
300,0
301,1
302,0
303,0
304,0
305,0
306,1
307,0
308,0
309,1
310,1
311,0
312,1
313,0
314,0
315,1
316,1
317,1
318,0
319,0
320,1
321,0
322,0
323,1
324,0
325,1
326,1
327,0
328,1
329,1
330,1
331,0
332,1
333,0
334,0
335,0
336,0
337,0
338,0
339,1
340,0
341,0
342,0
343,0
344,1
345,1
346,0
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,0
355,0
356,0
357,1
358,0
359,0
360,1
361,0
362,0
363,1
364,1
365,0
366,0
367,0
368,1
369,1
370,1
371,0
372,1
373,0
374,1
375,1
376,1
377,1
378,0
379,1
380,1
381,0
382,0
383,0
384,1
385,1
386,1
387,1
388,0
389,1
390,0
391,0
392,0
393,0
394,1
395,0
396,1
397,1
398,1
399,0
400,1
401,1
402,0
403,0
404,0
405,1
406,0
407,1
408,0
409,0
410,0
411,0
412,0
413,0
414,1
415,0
416,1
417,0
418,0
419,0
420,0
421,1
422,0
423,1
424,1
425,1
426,0
427,1
428,1
429,1
430,0
431,1
432,1
433,1
434,1
435,0
436,1
437,1
438,0
439,0
440,0
441,0
442,0
443,0
444,1
445,1
446,0
447,1
448,0
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,0
459,1
460,0
461,1
462,1
463,0
464,0
465,1
466,1
467,1
468,1
469,0
470,1
471,0
472,1
473,0
474,1
475,0
476,1
477,1
478,1
479,0
480,0
481,1
482,1
483,1
484,1
485,0
486,0
487,0
488,1
489,0
490,0
491,1
492,0
493,1
494,1
495,0
496,0
497,0
498,0
499,0
500,1
501,1
502,0
503,1
504,1
505,0
506,1
507,1
508,1
509,0
510,1
511,0
512,1
513,0
514,1
515,0
516,0
517,1
518,1
519,1
520,0
521,1
522,1
523,1
524,0
525,1
526,1
527,0
528,1
529,1
530,1
531,0
532,0
533,0
534,0
535,1
536,1
537,1
538,0
539,0
540,0
541,1
542,1
543,1
544,0
545,0
546,1
547,0
548,1
549,0
550,1
551,1
552,1
553,0
554,0
555,0
556,1
557,1
558,0
559,1
560,1
561,0
562,1
563,0
564,1
565,1
566,1
567,1
568,1
569,1
570,0
571,1
572,1
573,0
574,0
575,0
576,1
577,0
578,0
579,0
580,1
581,1
582,1
583,1
584,0
585,0
586,1
587,1
588,0
589,0
590,1
591,1
592,1
593,1
594,0
595,1
596,0
597,1
598,1
599,1
600,0
601,1
602,1
603,0
604,1
605,0
606,1
607,0
608,0
609,0
610,0
611,1
612,0
613,1
614,0
615,1
616,0
617,0
618,1
619,1
620,0
621,0
622,1
623,0
624,1
625,1
626,1
627,1
628,0
629,0
630,1
631,0
632,1
633,1
634,0
635,1
636,1
637,0
638,1
639,1
640,0
641,0
642,0
643,1
644,1
645,1
646,0
647,0
648,1
649,0
650,0
651,1
652,0
653,1
654,1
655,1
656,1
657,0
658,1
659,1
660,1
661,1
662,0
663,1
664,0
665,1
666,1
667,1
668,0
669,1
670,1
671,0
672,0
673,1
674,0
675,0
676,0
677,0
678,0
679,1
680,0
681,0
682,1
683,0
684,1
685,0
686,1
687,0
688,1
689,1
690,0
691,1
692,1
693,1
694,0
695,0
696,1
697,0
698,1
699,0
700,0
701,1
702,0
703,0
704,0
705,0
706,1
707,1
708,0
709,1
710,1
711,1
712,1
713,1
714,1
715,0
716,1
717,1
718,0
719,1
720,1
721,0
722,1
723,0
724,1
725,1
726,1
727,0
728,1
729,0
730,1
731,1
732,1
733,1
734,1
735,1
736,0
737,1
738,1
739,1
740,1
741,1
742,0
743,1
744,1
745,1
746,1
747,1
748,1
749,1
750,1
751,0
752,1
753,0
754,0
755,1
756,0
757,0
758,0
759,1
760,0
761,0
762,0
763,1
764,0
765,1
766,1
767,1
768,1
769,1
770,0
771,1
772,1
773,1
774,1
775,0
776,1
777,0
778,0
779,0
780,0
781,1
782,0
783,1
784,1
785,0
786,1
787,1
788,1
789,0
790,0
791,1
792,1
793,0
794,1
795,1
796,1
797,1
798,1
799,1
800,0
801,0
802,1
803,0
804,1
805,1
806,0
807,0
808,1
809,0
810,0
811,0
