id,home_team_win_file1,home_team_win_file2,_merge
2,1,0,both
3,1,0,both
5,1,0,both
15,1,0,both
19,1,0,both
31,1,0,both
39,1,0,both
57,1,0,both
79,1,0,both
81,1,0,both
85,1,0,both
94,1,0,both
96,1,0,both
102,1,0,both
121,1,0,both
129,1,0,both
137,1,0,both
168,1,0,both
181,1,0,both
183,1,0,both
189,1,0,both
193,1,0,both
200,1,0,both
204,1,0,both
205,1,0,both
206,1,0,both
209,1,0,both
215,1,0,both
225,1,0,both
250,1,0,both
268,1,0,both
273,1,0,both
275,1,0,both
283,1,0,both
289,1,0,both
295,1,0,both
296,1,0,both
305,1,0,both
307,1,0,both
321,1,0,both
322,1,0,both
324,1,0,both
326,1,0,both
330,1,0,both
333,1,0,both
336,1,0,both
350,1,0,both
351,1,0,both
353,1,0,both
372,1,0,both
376,1,0,both
382,1,0,both
407,1,0,both
409,1,0,both
411,1,0,both
423,1,0,both
427,1,0,both
429,1,0,both
434,1,0,both
439,1,0,both
447,1,0,both
457,1,0,both
460,1,0,both
470,1,0,both
472,1,0,both
473,1,0,both
474,1,0,both
481,1,0,both
486,1,0,both
491,1,0,both
504,1,0,both
534,1,0,both
538,1,0,both
542,1,0,both
551,0,1,both
559,1,0,both
560,1,0,both
564,1,0,both
570,1,0,both
577,1,0,both
592,0,1,both
611,1,0,both
623,1,0,both
652,1,0,both
660,1,0,both
676,1,0,both
682,1,0,both
690,1,0,both
700,1,0,both
703,1,0,both
706,1,0,both
712,1,0,both
714,1,0,both
717,1,0,both
721,1,0,both
722,1,0,both
735,1,0,both
746,1,0,both
747,1,0,both
758,1,0,both
763,1,0,both
769,1,0,both
781,1,0,both
788,1,0,both
806,1,0,both
808,1,0,both
810,1,0,both
818,1,0,both
822,1,0,both
824,1,0,both
831,1,0,both
838,1,0,both
847,1,0,both
851,1,0,both
869,1,0,both
870,1,0,both
872,1,0,both
906,1,0,both
908,1,0,both
917,1,0,both
942,1,0,both
957,1,0,both
961,1,0,both
976,1,0,both
994,1,0,both
1003,1,0,both
1010,1,0,both
1016,1,0,both
1043,1,0,both
1048,1,0,both
1050,1,0,both
1054,1,0,both
1061,1,0,both
1067,1,0,both
1072,1,0,both
1078,1,0,both
1082,1,0,both
1084,1,0,both
1093,1,0,both
1107,1,0,both
1115,1,0,both
1118,1,0,both
1127,1,0,both
1129,1,0,both
1139,1,0,both
1142,1,0,both
1153,1,0,both
1155,1,0,both
1158,1,0,both
1162,1,0,both
1169,1,0,both
1174,1,0,both
1180,1,0,both
1185,1,0,both
1186,1,0,both
1192,1,0,both
1205,1,0,both
1219,1,0,both
1224,1,0,both
1227,1,0,both
1231,1,0,both
1238,1,0,both
1248,1,0,both
1250,1,0,both
1252,1,0,both
1260,1,0,both
1276,1,0,both
1282,1,0,both
1290,1,0,both
1291,1,0,both
1293,1,0,both
1303,1,0,both
1345,1,0,both
1347,1,0,both
1353,1,0,both
1354,1,0,both
1360,1,0,both
1363,1,0,both
1369,1,0,both
1373,1,0,both
1374,0,1,both
1384,1,0,both
1386,1,0,both
1390,1,0,both
1392,1,0,both
1407,1,0,both
1408,1,0,both
1410,1,0,both
1417,1,0,both
